type,name,template_or_file,size_kb,render_cost,js_cost,css_cost,paint_gpu_cost,network_cost,est_lcp_s,layout_shift_risk,score,notes
page,Home,index.json,n/a,High,Critical,High,High,Critical,5.5,Med,F,"5-6 carousels in one mega-section; render-blocking 635KB WebGL; animated GIF hero"
page,Collection,collection.json,n/a,High,Critical,High,Med,High,4.2,Med,D,"premium-collections loads blocking three/vanta; facets CSS 31KB"
page,Product,product.json,n/a,VeryHigh,High,High,Med,Med,5.0,Med,D,"main-product 110KB; theme-product+gallery CSS; BEV; trust marquee; ambient"
page,Incense PDP,main-incense.liquid,n/a,High,Med,High,Med,Med,5.0,Med,D,"945+ lines inline CSS; @import fonts; one of 7 clones"
page,Search,search.json,n/a,Med,Med,Med,Med,Med,3.5,Low,C,"facets + predictive; results images"
page,Predictive Search,predictive-search.liquid,n/a,Low,Low,Low,Low,Low,0,Low,B,"async CSS; debounced; lazy"
page,Cart,cart.json,n/a,Med,Low,Med,Low,Low,3.0,Low,B,"cart bundle; line item images"
page,Blog,blog.json,n/a,Med,Med,Med,Low,Med,3.0,Low,B-,"global+interactions; article images"
page,Article,article.json,n/a,Med,Med,Med,Low,Med,3.0,Low,B-,"anand-rasa-article section"
page,About,page.about.json,n/a,Med,Med,Med,Low,Med,3.5,Med,C,"risk of 1.9MB story image"
page,Contact,page.contact.json,n/a,Low,Low,Low,Low,Low,2.5,Low,B+,"contact form minimal"
page,FAQ,page.faq.json,n/a,Low,Low,Low,Low,Low,2.5,Low,B,"collapsible content"
page,Policy,policy templates,n/a,Low,Low,Low,Low,Low,2.0,Low,A-,"text only"
page,404,404.json,n/a,Low,Low,Low,Low,Low,2.5,Low,B,"inline redirect JS"
page,Build-a-box,page.build-your-box.json,n/a,High,Med,High,Med,Med,4.0,Med,C-,"build-your-attar-box CSS 45KB + JS 40KB + confetti"
page,Custom Perfume Quiz,page.custom-perfume.json,n/a,MedHigh,Med,Med,Low,Med,3.5,Med,C,"~300 lines inline quiz JS"
page,Partner Dashboard,page.partner.liquid,n/a,Med,Med,Med,Low,Med,3.5,Low,C,"dashboard JS 30KB; charts"
page,Influencer Dashboard,page.influencer-dashboard.json,n/a,Med,Med,Med,Low,Med,3.5,Low,C,"redirect stub; dead JS/CSS on disk"
page,Customer Account,customers/account.json,n/a,Low,Low,Low,Low,Low,2.5,Low,B+,"standard"
section,Hero Vanta,snippet-home-products-find.liquid,5,Med,Critical,Low,Critical,Critical,n/a,Low,CRITICAL,"three.min.js 615KB blocking + WebGL rAF"
section,Homepage Mega,anand-rasa-homepage.liquid,67,High,High,High,High,High,n/a,Med,CRITICAL,"590 lines inline CSS; 8 child snippets; unbounded loops"
section,Brand Experience Videos,brand-experience-videos.liquid,14,Med,High,Med,High,High,n/a,Low,HEAVY,"perpetual rAF; per-frame DOM writes; N YouTube iframes"
section,Product Page,main-product.liquid,110,High,High,Med,Med,Med,n/a,Med,HEAVY,"nested recommendation loops; card-product render in loop"
section,Incense PDP clones x7,main-incense.liquid,360,High,Med,High,Med,Med,n/a,Med,HEAVY,"copy-pasted PDPs ~52KB each"
section,Header / Mega Menu,header.liquid,76,Med,Low,Low,Low,Low,n/a,Low,HEAVY,"22 ar-collection-url renders; 780 lines inline CSS"
section,Community Carousel,anand-rasa-community.liquid,3,Low,High,Med,Med,Low,n/a,Low,HEAVY,"perpetual rAF leak; resize listener leak"
section,Collection Grids,collection-nakshatra.liquid,26,High,Low,Med,Low,Med,n/a,Low,HEAVY,"3 renders/product; 40-62 bucket-sort assigns"
section,Featured Product,featured-product.liquid,64,High,High,Med,Med,Med,n/a,Med,HEAVY,"full PDP clone; 10 metafield hits"
section,Testimonials,snippet-home-testimonials.liquid,n/a,Med,Med,Med,Med,Med,n/a,Low,AVERAGE,"~1100 lines inline; carousel JS"
section,Facets,facets.liquid,15,Med,Med,Med,Med,Med,n/a,Low,AVERAGE,"17 nested loops; layered focus shadows"
section,Planetary Mantra Reel,navagraha-mantra.liquid,1,Low,Med,Low,Low,Med,n/a,Low,AVERAGE,"YouTube postMessage embeds"
section,Trust Marquee,trust-marquee.liquid,8,Low,Low,Low,Low,Low,n/a,Low,AVERAGE,"infinite marquee on all PDPs; ResizeObserver"
section,Slideshow,slideshow.liquid,23,Low,Low,Low,Low,Med,n/a,Med,AVERAGE,"setInterval autoplay"
section,Cart Drawer,cart-drawer.liquid,n/a,Low,Low,Low,Low,Low,n/a,Low,FAST,"permanent doc listeners (guarded)"
section,Predictive Search,predictive-search.liquid,13,Low,Low,Low,Low,Low,n/a,Low,FAST,"async; debounced"
section,Footer,footer.liquid,26,Low,Low,Low,Low,Low,n/a,Low,FAST,"inline CSS; section-footer.css dead"
section,Rich Text,rich-text.liquid,13,Low,None,Low,Low,Low,n/a,Low,VERY_FAST,"static"
section,Collapsible Content,collapsible-content.liquid,20,Low,None,Low,Low,Low,n/a,Low,VERY_FAST,"max-height transition"
section,Contact Form,contact-form.liquid,8,Low,None,Low,Low,Low,n/a,Low,VERY_FAST,"native form"
asset,three.min.js,assets/three.min.js,615,n/a,Critical,n/a,n/a,Critical,n/a,n/a,F,"render-blocking WebGL lib"
asset,NakshatraGif1.webm,assets/NakshatraGif1.webm,3059,n/a,n/a,n/a,Med,Critical,n/a,n/a,F,"3MB video; verify usage/compression"
asset,vashist_shubham_2005.webp,assets/vashist_shubham_2005.webp,1931,n/a,n/a,n/a,Med,Critical,n/a,n/a,F,"1.9MB oversized image"
